S.N;Station No;Station Name;Y;X;precp;;;
1;601;Jomsom;28,47;83,43;400;;;
2;604;Thakmarpha;28,45;83,42;500;;;
3;605;Baglung;28,16;83,36;984;;;
4;606;Tatopani;28,29;83,39;1243;;;
5;607;Lete;28,38;83,36;1500;;;
6;608;Ranipauwa;28,49;83,53;1400;;;
7;609;Benibajar;28,21;83,34;835;;;
8;610;Ghami;29,03;83,53;800;;;
9;612;Mustang;29,11;83,58;700;;;
10;613;karki neta;28,11;83,45;1100;;;
11;614;Kusma;28,13;83,42;891;;;
12;615;Bobang;282,4;83,06;800;;;
13;616;Gurja khani;28,36;83,13;960;;;
14;619;Ghorepani;28,24;83,44;1200;;;
15;620;Tribeni;28,02;83,39;700;;;
16;621;Darbang;28,23;83,24;1160;;;
17;622;Rangkhani;28,09;83,34;1230;;;
18;623;Dhiee;29,06;84;1120;;;
19;624;Samar Gaun;28,58;83,47;850;;;
20;625;Sanda;28,54;83,41;862;;;
21;626;Begha;28,28;83,36;1241;;;
22;627;Kunun;28,23;83,29;950;;;
23;628;Muna;28,3;83,18;685;;;
24;629;Baghara;28,34;83,23;1101;;;
25;630;Sirkon;28,08;83,37;790;;;
26;633;Chhoser;29,11;83,59;865;;;
27;701;Ridi Bajar;27,57;83,26;866;;;
28;704;Beluwo;27,41;84,03;900;;;
29;706;Dumkauli;27,41;84,13;868;;;
30;715;Khanchikot;27,56;83,09;1760;;;
31;722;Musikot;28,1;83,16;1280;;;
32;725;Tamghas;28,04;83,15;1530;;;
33;726;Garakot;27,52;83,48;500;;;
34;801;Jagat(Setibas;28,22;84,54;1334;;;
35;802;Hudibajar;28,17;84,22;823;;;
36;804;Pohara Airport;28,13;84;827;;;
37;805;Syangja;28,06;83,53;868;;;
38;806;Larke samdo;28,4;84,37;1400;;;
39;807;Kunchha;28,08;84,21;855;;;
40;808;Bandipur;27,56;84,25;965;;;
41;809;Gorkha;28;84,37;1097;;;
42;810;Chapkota;27,53;83,49;460;;;
43;811;Malepatan(Phokhara;28,07;84,07;856;;;
44;813;Bhadaure Deurali;28,16;83,49;1200;;;
45;814;Lumle;28,18;83,48;1740;;;
46;815;Khairenitar;28,02;84,06;500;;;
47;816;Chame;28,33;84,14;2680;;;
48;817;Damauli;27,58;84,17;358;;;
49;818;Lamachaur;28,16;83,58;1070;;;
50;820;Manang Bhot;28,4;84,01;3420;;;
51;821;Ghandruk;28,23;83,48;917;;;
52;823;Gharedhunga;28,12;84,37;845;;;
53;824;Siklesh;28,22;84,06;1500;;;
54;826;Walling;27,59;83,46;1200;;;
55;827;Rumjakot;27,52;84,08;860;;;
56;829;Sallyan;28,16;83,45;980;;;
57;830;Pamdur;28,16;83,47;864;;;
58;832;Dandaswanra;28,05;83,55;1025;;;
59;833;Chhekampar;28,29;85;940;;;
60;902;Rampur;27,37;84,25;899;;;
61;903;Jhawani;27,35;84,32;1120;;;
62;904;Chisapani Gadhi;27,33;85,08;1400;;;
63;906;Hetauda;27,25;85,03;1130;;;
64;919;Makwanpur Gadi;27,25;85,1;850;;;
65;920;Beluwa(manahari);27,33;84,49;940;;;
66;925;Rajaya;27,26;84,59;946;;;
67;927;Bharatpur;27,4;84,26;1065;;;
68;1001;Timure;28,17;85,23;1120;;;
69;1002;Arughat D bajar;28,03;84,49;1350;;;
70;1004;Nuwakot;27,55;85,1;981;;;
71;1005;Dhading;27,52;84,56;650;;;
72;1007;Kakani;27,48;85,15;840;;;
73;1038;Dhunibesi;27,43;85,11;965;;;
74;1054;Tamachit;28,1;85,19;1022;;;
75;1055;Dhunche;28,06;85,18;860;;;
76;1057;Pansayakhola;28,01;85,07;840;;;
77;1077;Sundarijal;27,45;85,25;1200;;;
78;1079;Nagarjun;27,45;85,15;1156;;;
79;1;Langtang khola;28,20946;85,54722;1300;;;45
